ID,nFollowers,o,c,e,a,n,Online Literacy,Political Leaning,nFakeShares,nTrueShares,freqUse,sessionLength,shareFreq
13,220,0.785668405348913,0.684799834696386,0.701971289579795,0.651492985262406,0.67476943342113,0.46450891238631,0.679820394075642,0,0,-0.725189571879878,-0.0122724877283568,0.473668769347658
14,166,0.765398846290741,0.581001828038453,0.530179368949742,0.767382403714661,0.675021955035189,0.65296985324757,0.797883615053393,0,1,-0.765547747458623,-0.057804018950533,0.357882714147778
15,157,0.63133595976213,0.758868803753533,0.730804781621902,0.848639113044238,0.563820100024714,0.40823445982869,0.309002601763634,0,1,-0.827968016333596,-0.0501686055700905,0.4120424250726
16,142,0.554395284989326,0.728224609223765,0.783747798495009,0.981874842470168,0.733556258774089,0.670630492325398,0.578196282301965,0,0,-0.816194668509599,0.0264470562803189,0.574923102886427
17,195,0.924844418743311,0.550865193383036,0.693547100237065,0.953820016509367,0.459020606616069,0.703352072211423,0.254631829207947,0,0,-0.833799078955717,-0.0322671147372974,0.318352410667633
18,140,0.626192111790354,0.656225128743985,0.395502739129208,0.83789638291366,0.526130936205645,0.667740264269888,0.631609411246049,0,1,-0.866092467417678,-0.178550059517106,0.208086226409947
19,159,0.716570243165349,0.845065542795536,0.60028260848619,0.635068827784574,0.558670802917378,0.681109424629834,0.987160968273523,0,0,-0.808043732478741,-0.135053237781791,0.335360366860317
20,194,0.854552449174647,0.70363342811988,0.575031727132985,0.58605820376573,0.707317524876133,0.75875086199239,0.667430430915274,0,0,-0.725689198636561,-0.0658320009344551,0.406730017960951
21,194,0.657563527096244,0.597601898112223,0.726647170885383,0.777959858211528,0.696695689984626,0.76897734550038,0.2371223018043,0,0,-0.732622853508504,0.0302155813192294,0.506251952095368
22,139,0.651726958590105,0.508035925580236,0.503586702844179,0.846743180840783,0.573494774679253,0.731322244553592,0.523382298404846,0,0,-0.7977582488994,-0.0743253165835916,0.28880434267909
23,156,0.575809013154026,0.643340996525646,0.661750075294984,0.89601159547154,0.641364218973036,0.565421831735637,0.990290931326584,0,0,-0.807327407280026,-0.0265250939205225,0.424422820196915
24,197,0.712644110093658,0.850253384795983,0.843506187872555,0.712377480792965,0.49072037636465,0.450609453226638,0.239619809540779,1,0,-0.804189669221603,-0.0461077847905427,0.413925673978732
25,211,0.792860213120666,0.620354086248686,0.665850848131214,0.648751199819468,0.809769920464584,0.601471588154528,0.307365198844346,0,0,-0.684048610532407,0.025769145586562,0.539185988332489
